author,amount,content,likes,authorProfilePicture
"@kaylahoffman5712","CA$2,79","Pin again plz ","277","null"
"@kaylahoffman5712","CA$2,79","Pin plz again ","136","null"
"@ItsMcCrew","€2,00","Bro needs tissue ️                  Tissue needs bro  ️","5,2 K","https://yt3.ggpht.com/wACcnb4rgyjMbh6qNfg_UynCEMZQ9HWuu78BMaDunSdXtvCZsJVi5LaaezbGM4MWKqSRsGpp9A=s88-c-k-c0x00ffffff-no-rj"
"@AlopeciaBeauty-fp9dh","$2,00","Thanks!","408","null"
"@Tsebraden","HK$10,00","I poopied on mine ","630","null"
"@QUEENBEEEXOTIC","$24,99","Nice vid  :)","15 K","https://yt3.ggpht.com/o8ssM_xHlU-Q5L05Ne7XcaJAjixQXSV2FgSksebcHXICa3GZMEHagK-benqUldZTiG9dON8lLXE=s88-c-k-c0x00ffffff-no-rj"
"@Norway-Sewden","£2,00","Mcdonalds got cooked so bad they burnt my big mac","1,7 K","null"
"@Viet_cat10","ARS 250,00","Burger king: ️","6,4 K","null"
"@Blinkxly1987","MX$50,00","Bk Quoted and its a 5 star quote","6,4 K","null"
"@estebansolorzano763","$10,00","hi ","8,4 K","null"
"@txmptxtions8769","$4,99","Long live Burger King","3,2 K","null"
"@tg_wnted","$2,00","That's the reason why I eat Burger King becuase is not about the food is about a kings food","4 K","null"
"@estebansolorzano763","$5,00","Just one more time","2,7 K","https://yt3.ggpht.com/ytc/AIdro_mVC3nfRuWM3ndPtXOS39dUnK6Fqfiy8FOSoAKGE04ltBY=s88-c-k-c0x00ffffff-no-rj"
"@MDARSHADHUSSAIN-w4e","₹40,00","Make more","2 K","null"
"@6oleXT","₹40,00","My name is jeff","1,4 K","null"
"@estebansolorzano763","$2,00","Again just for fun ️","1,1 K","null"
"@estebansolorzano763","$5,00","Sup","666","null"
"@Amir.Builtdifferent-j7o","PHP 125,00","Nice","1,1 K","null"
"@kaylahoffman5712","CA$2,79","Pin plz ","524","null"
"@ST4Rspizzy","$74,99","Hella funny","862","https://yt3.ggpht.com/BmbJA49DWhetENjhFLLaSIk1oPaMoMCpLf-LPmeGbj-2HGtPlaaLQVWZvyWrvFx-3FcgLosGMhA=s88-c-k-c0x00ffffff-no-rj"
"@RaydenCantAim","MYR 9,90","i need some of that too","283","null"
"@ST4Rspizzy","$49,99","Ur welcome ","56 K","https://yt3.ggpht.com/BmbJA49DWhetENjhFLLaSIk1oPaMoMCpLf-LPmeGbj-2HGtPlaaLQVWZvyWrvFx-3FcgLosGMhA=s88-c-k-c0x00ffffff-no-rj"
"@Freightliner_cascadia_driver","$400,00","Surprise! I finally got my paycheck","5,1 K","https://yt3.ggpht.com/cyK39mddT3vGL4DKbz_xtHQMX9maLeQF6NQ7RlFPRTMRe74az4nGv2s_NLZb59TH9g5bsaP-vw=s88-c-k-c0x00ffffff-no-rj"
"@Conar-the-creator","€5,00","That's funny","15","null"
"@AliVatansever495","₺20,00","nice content.","5","null"
